"";"Band";"cab";"cw";"cm";"LAI";"car"
"2";"B2";-0,108635289158822;0,000140452535113134;-0,0396244659061165;0,197031893757973;-0,463194871798718
"3";"B3";-0,958507564126891;0,0257475859368965;-0,016295596073899;-0,039528207882052;-0,105794915448729
"4";"B4";-0,552898233224558;0,0218006949501737;-0,0239152709788177;0,00538064984516246;-0,0212656013164003
"5";"B5";-0,980323149580787;0,0276154209038552;-0,0213645473411368;-0,0364061581015395;-0,0245946916486729
"6";"B6";-0,751065510266378;0,00427716856929214;-0,18775255993814;0,491654971413743;-0,0126940576735144
"7";"B7";0,00501815975453994;-0,0147483126870782;-0,466598945649736;0,819342882835721;0,0105609356402339
"8";"B8A";0,0129106622276656;-0,0186144316536079;-0,470393690098423;0,817037028259257;0,0104515991128998
"9";"B11";0,0204199536049884;-0,648947362736841;-0,491051866262967;0,469509180377295;-0,0141107780276945
"10";"B12";0,0225264926316232;-0,669796757449189;-0,692371311592828;0,0257294434323609;-0,0200938805234701
